Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2020-12-03,2696.22,1,20.32,0.0076,2686.38,2696.22,2672.85,817065939,15605053580066,1852628727864506.0
2020-12-04,2731.45,1,35.23,0.0131,2705.34,2742.77,2705.34,1778896587,19875836212787,1877444703497804.8
2020-12-07,2745.44,1,13.99,0.0051,2738.11,2754.01,2711.42,1499265153,17933011742727,1888221381669924.8
2020-12-08,2700.93,2,-44.51,-0.0162,2745.13,2747.45,2700.92,1415239942,17157198863683,1857599327331940.0
2020-12-09,2755.47,1,54.54,0.0202,2703.3,2755.47,2703.3,1252304581,17007606430269,1894556865472972.0
2020-12-10,2746.46,2,-9.01,-0.0033,2750.34,2765.46,2718.7,1227651010,20630646948075,1889374447167520.8
2020-12-11,2770.06,1,23.6,0.0086,2754.16,2781.04,2754.16,1215239032,18329100479780,1906299604955606.0
2020-12-14,2762.2,2,-7.86,-0.0028,2769.43,2782.79,2755.29,1113630947,17012253010491,1901627365336434.0
2020-12-15,2756.82,2,-5.38,-0.0019,2763.65,2769.37,2735.08,1093522786,15537969160194,1897677116864840.8
2020-12-16,2771.79,1,14.97,0.0054,2763.64,2781.08,2761.5,1166637812,13649676610565,1907811219051220.0
2020-12-17,2770.43,2,-1.36,-0.0005,2769.89,2772.71,2742.25,1015484002,16275328677791,1906419279762760.0
2020-12-18,2772.18,1,1.75,0.0006,2770.95,2782.15,2762.8,1059143711,19166224753391,1907350242179315.2
2020-12-21,2778.65,1,6.47,0.0023,2771.98,2780.24,2747.09,1139513643,18972230585146,1911737300659012.8
2020-12-22,2733.68,2,-44.97,-0.0162,2772.03,2774.22,2733.64,1260761729,19881377633257,1881809988083712.8
2020-12-23,2759.82,1,26.14,0.0096,2737.74,2769.08,2716.28,1121346859,20281217886958,1901461519264268.8
2020-12-24,2806.86,1,47.04,0.017,2762.6,2812.16,2762.6,1030890446,19984695285723,1936826862099535.2
2020-12-28,2808.6,1,1.74,0.0006,2820.95,2834.59,2799.56,1006249698,24197780569919,1938374378317299.2
2020-12-29,2820.51,1,11.91,0.0042,2810.55,2823.44,2792.06,1046839004,19299049133439,1944111085790440.0
2020-12-30,2873.47,1,52.96,0.0187999999999999,2820.36,2878.21,2809.35,1074033495,17928854517044,1980543161609060.8
2021-01-04,2944.45,1,70.98,0.0247,2874.5,2946.54,2869.11,1026510465,25011393960858,2028846031822322.0
2021-01-05,2990.57,1,46.12,0.0157,2943.67,2990.57,2921.84,1519911750,26548380179493,2059743507955076.0
2021-01-06,2968.21,2,-22.36,-0.0075,2993.34,3027.16,2961.37,1793418534,29909396443430,2044102754101964.8
2021-01-07,3031.68,1,63.47,0.0214,2980.75,3055.28,2980.75,1524654500,27182807334912,2086578562420456.8
2021-01-08,3152.18,1,120.5,0.0397,3040.11,3161.11,3040.11,1297903388,40909490005818,2170537648432200.0
2021-01-11,3148.45,2,-3.73,-0.0012,3161.9,3266.23,3096.19,1712525848,44433772380482,2171629411681152.0
