ticker,period,balance,balance_ratio,listed_shares
034020,2026-01-01,2303849,0.36,640561146
034020,2026-02-01,803916,0.13,640561146
034020,2026-03-01,302491,0.05,640561146
034020,2026-04-01,257083,0.04,640561146
034020,2026-05-01,403831,0.06,640561146
034020,2026-06-01,359474,0.06,640561146
034220,2025-04-01,4738793,0.95,500000000
034220,2025-05-01,5284803,1.06,500000000
034220,2025-06-01,5280267,1.06,500000000
034220,2025-07-01,3131639,0.63,500000000
034220,2025-08-01,4773861,0.95,500000000
034220,2025-09-01,2463185,0.49,500000000
034220,2025-10-01,5490277,1.1,500000000
034220,2025-11-01,7386078,1.48,500000000
034220,2025-12-01,8333595,1.67,500000000
034220,2026-01-01,12106230,2.42,500000000
034220,2026-02-01,9989549,2.0,500000000
034220,2026-03-01,21505481,4.3,500000000
034220,2026-04-01,20128528,4.03,500000000
034220,2026-05-01,15481290,3.1,500000000
034220,2026-06-01,16339500,3.27,500000000
034230,2025-04-01,724873,0.79,91771623
034230,2025-05-01,592626,0.65,91771623
034230,2025-06-01,421481,0.46,91771623
034230,2025-07-01,253061,0.28,91461308
034230,2025-08-01,414304,0.45,92174742
034230,2025-09-01,419035,0.45,92291316
034230,2025-10-01,437592,0.47,92405559
034230,2025-11-01,268195,0.29,92405559
034230,2025-12-01,99971,0.11,92405559
034230,2026-01-01,322143,0.35,92405559
034230,2026-02-01,499221,0.54,92405559
034230,2026-03-01,928540,1.0,92629382
034230,2026-04-01,990270,1.07,92629382
034230,2026-05-01,1701914,1.84,92629382
034230,2026-06-01,1449260,1.56,92629382
034730,2025-04-01,0,0.0,72502703
034730,2025-05-01,0,0.0,72502703
034730,2025-06-01,69440,0.1,72502703
034730,2025-07-01,122657,0.17,72502703
034730,2025-08-01,167579,0.23,72502703
034730,2025-09-01,43461,0.06,72502703
034730,2025-10-01,47787,0.07,72502703
034730,2025-11-01,5282,0.01,72502703
034730,2025-12-01,5184,0.01,72502703
034730,2026-01-01,4367,0.01,72502703
034730,2026-02-01,10197,0.01,72502703
034730,2026-03-01,23188,0.03,72502703
034730,2026-04-01,4064,0.01,72502703
034730,2026-05-01,1850,0.0,72502703
034730,2026-06-01,0,0.0,72502703
035250,2025-04-01,184981,0.09,213940500
