period,group_name,keywords,ratio,chunk_id
2021-12-01,market_anchor,코스피|코스닥|주식,17.11108,0
2022-01-01,market_anchor,코스피|코스닥|주식,24.01358,0
2022-02-01,market_anchor,코스피|코스닥|주식,20.74532,0
2022-03-01,market_anchor,코스피|코스닥|주식,18.00654,0
2022-04-01,market_anchor,코스피|코스닥|주식,15.06793,0
2022-05-01,market_anchor,코스피|코스닥|주식,17.64487,0
2022-06-01,market_anchor,코스피|코스닥|주식,24.39535,0
2022-07-01,market_anchor,코스피|코스닥|주식,18.66685,0
2022-08-01,market_anchor,코스피|코스닥|주식,14.71472,0
2022-09-01,market_anchor,코스피|코스닥|주식,19.95841,0
2022-10-01,market_anchor,코스피|코스닥|주식,17.5085,0
2022-11-01,market_anchor,코스피|코스닥|주식,16.06168,0
2022-12-01,market_anchor,코스피|코스닥|주식,13.88328,0
2023-01-01,market_anchor,코스피|코스닥|주식,13.93455,0
2023-02-01,market_anchor,코스피|코스닥|주식,12.77414,0
2023-03-01,market_anchor,코스피|코스닥|주식,14.67573,0
2023-04-01,market_anchor,코스피|코스닥|주식,13.54515,0
2023-05-01,market_anchor,코스피|코스닥|주식,11.33791,0
2023-06-01,market_anchor,코스피|코스닥|주식,11.16744,0
2023-07-01,market_anchor,코스피|코스닥|주식,12.39541,0
2023-08-01,market_anchor,코스피|코스닥|주식,12.83179,0
2023-09-01,market_anchor,코스피|코스닥|주식,10.18221,0
2023-10-01,market_anchor,코스피|코스닥|주식,14.6122,0
2023-11-01,market_anchor,코스피|코스닥|주식,15.4067,0
2023-12-01,market_anchor,코스피|코스닥|주식,10.99896,0
2024-01-01,market_anchor,코스피|코스닥|주식,14.49281,0
2024-02-01,market_anchor,코스피|코스닥|주식,11.2475,0
2024-03-01,market_anchor,코스피|코스닥|주식,11.57219,0
2024-04-01,market_anchor,코스피|코스닥|주식,14.06868,0
2024-05-01,market_anchor,코스피|코스닥|주식,11.3127,0
2024-06-01,market_anchor,코스피|코스닥|주식,9.96233,0
2024-07-01,market_anchor,코스피|코스닥|주식,12.7467,0
2024-08-01,market_anchor,코스피|코스닥|주식,21.80651,0
2024-09-01,market_anchor,코스피|코스닥|주식,12.28876,0
2024-10-01,market_anchor,코스피|코스닥|주식,11.57962,0
2024-11-01,market_anchor,코스피|코스닥|주식,15.00169,0
2024-12-01,market_anchor,코스피|코스닥|주식,20.78298,0
2025-01-01,market_anchor,코스피|코스닥|주식,11.70204,0
2025-02-01,market_anchor,코스피|코스닥|주식,12.1367,0
2025-03-01,market_anchor,코스피|코스닥|주식,12.87268,0
2025-04-01,market_anchor,코스피|코스닥|주식,19.31615,0
2025-05-01,market_anchor,코스피|코스닥|주식,10.13655,0
2025-06-01,market_anchor,코스피|코스닥|주식,23.86172,0
2025-07-01,market_anchor,코스피|코스닥|주식,21.53131,0
2025-08-01,market_anchor,코스피|코스닥|주식,19.76204,0
2025-09-01,market_anchor,코스피|코스닥|주식,19.70126,0
2025-10-01,market_anchor,코스피|코스닥|주식,26.83678,0
2025-11-01,market_anchor,코스피|코스닥|주식,40.85484,0
2025-12-01,market_anchor,코스피|코스닥|주식,28.09134,0
2026-01-01,market_anchor,코스피|코스닥|주식,49.50554,0
2026-02-01,market_anchor,코스피|코스닥|주식,54.26047,0
2026-03-01,market_anchor,코스피|코스닥|주식,100.0,0
